OH_NUM,NOM,V_USAGE,NOM_USAGE,PORTEE,DATE_DEB,FIAB_APP,DATE_FIN,FIAB_DISP,REFERENCE,REMARQUES,geom_wkt,V_URB,deb_zone_ID,deb_zone_nom,deb_zone_urb,deb_zone_densite,deb_zone_urb2
2072,"habitation, President-Merville (rue du) 8",37,habitat,1,1100,3,1940,1,Marot 2013,batiment seul (parcelle incertaine),POINT(525320.6938 6701909.8593),3,EU_11,suburbium_sm,T,2,A
2073,"habitation, President-Merville (rue du) 17",37,habitat,1,1175,2,1400,3,Marot 2013,batiment seul (parcelle incertaine),POINT(525293.5394 6701835.6187),3,EU_11,suburbium_sm,T,2,A
2074,"habitation, President-Merville (rue du) 17",37,habitat,1,1100,3,1400,4,Marot 2013,batiment seul (parcelle incertaine),POINT(525295.8089 6701825.6805),3,EU_11,suburbium_sm,T,2,A
2075,"habitation, Briconnet (rue) 35 / Poirier (rue du) 4-6",37,habitat,1,1200,4,1960,2,Marot 2013,batiment et parcelle,POINT(525104.4747 6701926.7906),3,EU_11,suburbium_sm,T,2,A
2076,"habitation, Orfevres (rue des) 2",37,habitat,1,1100,3,1300,3,Marot 2013,batiment et parcelle,POINT(525228.1014 6701922.7159),3,EU_11,suburbium_sm,T,2,A
2077,"habitation, Orfevres (rue des) 2",37,habitat,1,1300,3,1961,1,Marot 2013,batiment et parcelle,POINT(525228.4582 6701918.8606),3,EU_11,suburbium_sm,T,2,A
2078,"habitation, President-Merville (rue du) 21-23",37,habitat,1,1300,4,2015,,Marot 2013,batiment seul (parcelle incertaine),POINT(525318.7591 6701818.4468),3,EU_11,suburbium_sm,T,2,A
2079,"eglise Saint-Andre, Rapin (rue) 14",42,édifices culturels catholiques,1,1000,3,1700,3,Marot 2013,batiment seul (parcelle incertaine),POINT(525121.1129 6701669.47),4,EU_06,centre_sm_E2,T,3,A
2080,"habitation, Rapin (rue) 5-7",43,bâtiments conventuels ou monastiques,1,1100,3,1400,4,Marot 2013,batiment seul (parcelle incertaine),POINT(525116.2067 6701705.503),4,EU_06,centre_sm_E2,T,3,A
2081,"habitation, Rapin (rue) 12",43,bâtiments conventuels ou monastiques,1,1300,3,1790,2,Marot 2013,batiment seul (parcelle incertaine),POINT(525133.3102 6701670.29),4,EU_06,centre_sm_E2,T,3,A
2082,"habitation, Paul-Louis-Courier (rue) 7",37,habitat,1,1400,3,2015,,Marot 2013,batiment et parcelle,POINT(525257.0623 6702019.6138),3,EU_20,chateauneuf_N,T,2,A
2083,"habitation, Tanneurs (rue des) 39",37,habitat,1,1100,4,1970,2,Marot 2013,batiment seul (parcelle incertaine),POINT(525001.1221 6702068.6412),3,EU_11,suburbium_sm,T,2,A
2084,"habitation, Rapin (rue) 3",43,bâtiments conventuels ou monastiques,1,1300,3,1500,3,Marot 2013,batiment seul (parcelle incertaine),POINT(525161.1821 6701678.8226),4,EU_06,centre_sm_E2,T,3,A
2085,"Porte, Descartes (rue)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,batiment seul,POINT(525240.4564 6701652.2234),2,EU_06,centre_sm_E2,T,3,A
2086,"Batiment ecclesiastique, Halles (rue des) 86",43,bâtiments conventuels ou monastiques,2,1100,4,1400,3,Marot 2013,batiment seul (parcelle incertaine),POINT(525160.5657 6701710.1262),4,EU_06,centre_sm_E2,T,3,A
2087,"habitation, Baleschoux (rue) 16",43,bâtiments conventuels ou monastiques,1,1200,4,1500,4,Marot 2013,batiment seul (parcelle incertaine),POINT(525304.6972 6701678.6683),4,EU_06,centre_sm_E2,T,3,A
2088,"habitation, Paul-Louis-Courier (rue) 14",37,habitat,1,900,4,1200,4,Marot 2013,batiment seul (parcelle incertaine),POINT(525288.9224 6701977.3207),3,EU_11,suburbium_sm,T,2,A
