"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"86","908",300,549,"EU_03","cite_castrum","urbaine","2",300,1050,4,FALSE,FALSE,0,0,"tronçon mur NE (rempart BE)",21,"système défensif urbain","2",2
"87","909",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N, E de St Libert (rempart BE)",21,"système défensif urbain","2",2
"88","910",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,7,FALSE,FALSE,0,0,"tronçon mur NE (rempart BE)",21,"système défensif urbain","2",2
"89","912",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"90","913",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"resistivite negative, poterne N (rempart BE)",21,"système défensif urbain","2",2
"91","914",300,549,"EU_03","cite_castrum","urbaine","2",300,1500,6,FALSE,FALSE,0,0,"tronçon mur N sous logis gouverneurs (rempart BE)",21,"système défensif urbain","2",2
"92","915",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"93","916",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"tronçon mur W (rempart BE)",21,"système défensif urbain","2",2
"94","917",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"tronçon mur W (rempart BE)",21,"système défensif urbain","2",2
"95","918",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"tour polygonale W (rempart BE)",21,"système défensif urbain","2",2
"96","919",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,3,FALSE,FALSE,0,1,"tronçon mur W, entre tour W et Psalette",21,"système défensif urbain","2",2
"97","920",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,1150,4,FALSE,FALSE,2,1,"tour cloitre de la Psalette, mur W (rempart BE)",21,"système défensif urbain","2",2
"98","921",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,3,FALSE,FALSE,0,1,"tronçon mur W, S de tour W Psalette (rempart BE)",21,"système défensif urbain","2",2
"99","922",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,3,FALSE,FALSE,0,1,"tronçon mur W (rempart BE)",21,"système défensif urbain","2",2
"100","923",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,3,FALSE,FALSE,0,1,"tronçon mur W, N de la tour angle SW (rempart BE)",21,"système défensif urbain","2",2
"101","924",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,4,FALSE,FALSE,0,1,"tour angle SW (rempart BE)",21,"système défensif urbain","2",2
"102","925",300,549,"EU_03","cite_castrum","urbaine","2",300,1658,4,FALSE,FALSE,0,1,"tronçon mur S, E tour angle SW (rempart BE)",21,"système défensif urbain","2",2
"103","926",300,549,"EU_03","cite_castrum","urbaine","2",300,1658,4,FALSE,FALSE,0,1,"tronçon mur S, sous ""Sinode"" (rempart BE)",21,"système défensif urbain","2",2
"104","927",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon courtine SE (rempart BE)",21,"système défensif urbain","2",2
"105","928",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur SE, W poterne SE (rempart BE)",21,"système défensif urbain","2",2
"106","929",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur SE, E poterne SE (rempart BE)",21,"système défensif urbain","2",2
"107","930",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,1725,2,FALSE,FALSE,0,0,"tour E, mur S (rempart BE)",21,"système défensif urbain","2",2
"108","931",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,1685,2,FALSE,FALSE,0,0,"tronçon mur SE, W tour angle SE (rempart BE)",21,"système défensif urbain","2",2
"109","932",300,549,"EU_03","cite_castrum","urbaine","2",300,1700,5,FALSE,FALSE,0,1,"poterne SE (rempart BE)",21,"système défensif urbain","2",2
"110","933",50,850,NA,NA,"non urbaine","0",50,850,1,FALSE,FALSE,0,0,"restitution trait de rive E (site 8)",13,"aménagement des berges","1",2
"111","934",50,850,NA,NA,"non urbaine","0",50,850,1,FALSE,FALSE,0,0,"trait de rive restitue a l'W du site 06",13,"aménagement des berges","1",2
"112","935",50,850,NA,NA,"non urbaine","0",50,850,1,FALSE,FALSE,0,0,"M1 (site 06)",13,"aménagement des berges","1",2
"113","936",919,1080,"EU_11","suburbium_sm","urbaine","2",919,1080,1,FALSE,FALSE,0,0,"Trait de rive",13,"aménagement des berges","1",2
"114","937",919,1080,"EU_11","suburbium_sm","urbaine","2",919,1080,1,FALSE,FALSE,0,0,"Trait de rive restitue",13,"aménagement des berges","1",2
"115","939",943,1355,"EU_11","suburbium_sm","urbaine","2",943,1356,2,FALSE,FALSE,0,0,"Trait de rive",13,"aménagement des berges","1",2
"116","940",40,300,NA,NA,"non urbaine","0",40,300,1,FALSE,FALSE,0,0,"structures de pieux, pont de l'île Saint Jacques",15,"franchissements","1",3
"117","941",40,300,NA,NA,"non urbaine","0",40,300,1,FALSE,FALSE,0,0,"structures de pieux (restit), pont île St Jacques",15,"franchissements","1",3
"118","942",300,1034,NA,NA,"non urbaine","0",300,1034,1,FALSE,FALSE,0,0,"structures de pieux (restit), pont île Aucard",15,"franchissements","1",3
"119","943",300,1034,NA,NA,"non urbaine","0",300,1034,1,FALSE,FALSE,0,0,"structures de pieux, pont île Aucard",15,"franchissements","1",3
"120","949",1480,1621,NA,NA,"non urbaine","0",1480,2000,6,FALSE,FALSE,1,3,"enceinte-soutenement, rep. du rempart de la Cite",14,"aménagements du relief","1",2
"121","950",300,549,"EU_03","cite_castrum","urbaine","2",300,1360,5,FALSE,FALSE,0,0,"tronçon mur E, sous rue Blanqui (rempart BE)",21,"système défensif urbain","2",2
"122","951",300,1050,NA,NA,"non urbaine","0",300,1050,1,FALSE,FALSE,0,0,"tour angle NE (rempart BE)",21,"système défensif urbain","2",2
"123","952",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"124","954",300,1621,NA,NA,"non urbaine","0",300,1785,2,FALSE,FALSE,1,1,"poterne E, mur N (rempart BE)",21,"système défensif urbain","2",2
"125","955",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"poterne en baionette, mur N (rempart BE)",21,"système défensif urbain","2",2
"126","957",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,4,FALSE,FALSE,0,1,"tronçon mur SW (rempart BE)",21,"système défensif urbain","2",2
"127","960",300,899,NA,NA,"non urbaine","0",300,1360,2,FALSE,FALSE,1,1,"tour hexagonale N, mur E (rempart BE)",21,"système défensif urbain","2",2
"128","961",300,899,NA,NA,"non urbaine","0",300,1685,3,FALSE,FALSE,2,2,"tour N, mur E (rempart BE)",21,"système défensif urbain","2",2
"129","962",300,1621,NA,NA,"non urbaine","0",300,1785,2,FALSE,FALSE,1,1,"tronçon mur N, E poterne E (rempart BE)",21,"système défensif urbain","2",2
"130","963",300,1621,NA,NA,"non urbaine","0",300,1785,2,FALSE,FALSE,1,1,"tronçon mur N, W poterne E (rempart BE)",21,"système défensif urbain","2",2
"131","964",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"132","965",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"133","966",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"134","967",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"135","968",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N sous la rue des Maures (rempart BE)",21,"système défensif urbain","2",2
"136","969",300,549,"EU_03","cite_castrum","urbaine","2",300,1785,7,FALSE,FALSE,0,0,"tronçon mur N (rempart BE)",21,"système défensif urbain","2",2
"137","970",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N sous acces parking (rempart BE)",21,"système défensif urbain","2",2
"138","971",300,1300,NA,NA,"non urbaine","0",300,1300,1,FALSE,FALSE,0,0,"tronçon mur N sous tour logis de Mars (rempart BE)",21,"système défensif urbain","2",2
"139","972",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,3,FALSE,FALSE,0,1,"tour dans cathedrale, mur W (rempart BE)",21,"système défensif urbain","2",2
