"","OH_NUM","DATE_DEB","DATE_FIN","V_USAGE","V_URB","PORTEE","p_1","p_2","p_3","p_4","urb_1","urb_2","urb_3","urb_4","urb_5","urb_6"
"121",1875,40,75,"61","6","1",3,2,0,0,2,0,1,0,0,2
"122",1876,40,75,"61","6","1",3,2,0,0,2,0,1,0,0,2
"123",1877,75,150,"37","3","1",6,1,0,0,1,0,3,0,0,3
"124",1878,40,75,"37","3","1",4,2,0,0,2,0,1,0,0,3
"125",1879,75,150,"30","3","1",5,1,0,0,1,0,2,0,0,3
"126",1891,20,50,"37","3","1",1,0,0,0,0,0,1,0,0,0
"127",1894,20,100,"37","3","1",0,0,0,0,0,0,0,0,0,0
"128",1895,100,200,"37","3","1",1,0,0,0,0,0,1,0,0,0
"129",1896,1100,1791,"43","4","1",6,23,0,1,2,14,0,11,3,0
"130",1897,100,400,"12","1","1",15,0,0,0,0,0,15,0,0,0
"131",1899,100,150,"37","3","1",17,0,0,0,1,0,16,0,0,0
"132",1900,100,400,"37","3","1",17,0,0,0,1,0,16,0,0,0
"133",1901,150,400,"37","3","1",12,0,0,0,1,0,11,0,0,0
"134",1902,100,400,"37","3","1",17,0,0,0,1,0,16,0,0,0
"135",1903,1723,1791,"31","3","1",1,4,0,0,0,3,1,1,0,0
"136",1904,1500,1550,"62","6","3",4,7,0,0,0,7,4,0,0,0
"137",1906,1600,1775,"13","1","2",1,7,0,0,1,5,2,0,0,0
"138",1907,1200,1400,"43","4","1",3,0,0,0,0,0,1,2,0,0
"139",1908,1200,1450,"43","4","1",2,0,0,0,0,0,1,1,0,0
"140",1909,1210,1400,"43","4","1",1,8,0,0,1,7,0,1,0,0
"141",1910,1250,1650,"43","4","1",2,6,0,0,2,4,0,2,0,0
"142",1911,1250,1480,"43","4","1",3,0,1,0,0,0,1,3,0,0
"143",1912,1275,1400,"43","4","1",4,4,1,0,0,4,0,5,0,0
"144",1913,1300,1700,"43","4","1",4,4,0,0,0,4,0,4,0,0
"145",1914,1300,1480,"43","4","1",3,6,1,0,0,6,0,4,0,0
"146",1915,1300,1791,"43","4","1",4,8,0,0,1,7,0,4,0,0
"147",1916,1400,1791,"43","4","1",8,8,0,0,1,7,1,7,0,0
"148",1917,1400,1480,"43","4","1",6,13,0,0,2,11,1,5,0,0
"149",1918,1400,1650,"43","4","1",6,5,1,0,0,5,0,7,0,0
"150",1919,1400,1700,"43","4","1",12,0,0,0,0,0,1,11,0,0
"151",1920,1400,1543,"43","4","1",9,7,0,0,1,6,1,8,0,0
"152",1921,1407,1750,"43","4","1",9,2,1,0,0,2,1,9,0,0
"153",1922,1450,1750,"43","4","1",5,16,0,0,2,14,1,4,0,0
"154",1923,1450,1750,"43","4","1",8,0,0,0,0,0,1,7,0,0
"155",1924,1450,1765,"43","4","1",9,0,0,0,0,0,1,8,0,0
"156",1925,1480,1750,"43","4","1",7,4,1,0,0,4,0,8,0,0
"157",1926,1480,1791,"43","4","1",7,13,0,0,2,11,1,6,0,0
"158",1927,1480,1750,"43","4","1",13,4,1,0,0,4,1,13,0,0
"159",1928,1480,1650,"43","4","1",9,5,1,0,0,5,0,10,0,0
"160",1929,1480,1650,"43","4","1",10,4,1,0,0,4,1,10,0,0
"161",1930,1480,1791,"43","4","1",10,0,1,0,0,0,2,9,0,0
"162",1931,1490,1765,"43","4","1",8,6,0,0,0,6,1,7,0,0
"163",1932,1490,1650,"43","4","1",11,4,1,0,0,4,2,10,0,0
"164",1933,1543,1650,"43","4","1",12,8,0,0,2,6,1,11,0,0
"165",1934,1600,1791,"43","4","1",1,6,0,0,4,2,0,1,0,0
"166",1935,1600,1750,"43","4","1",6,2,1,0,1,1,0,7,0,0
"167",1936,1650,1791,"43","4","1",5,0,0,0,0,0,1,4,0,0
"168",1937,1650,1791,"43","4","1",9,4,1,0,1,3,0,10,0,0
"169",1938,1650,1750,"43","4","1",5,2,0,0,2,0,0,5,0,0
"170",1939,1650,1791,"43","4","1",8,2,1,0,1,1,1,8,0,0
"171",1940,1650,1791,"43","4","1",11,2,1,0,1,1,0,12,0,0
"172",1941,1650,1791,"43","4","1",7,0,0,0,0,0,1,6,0,0
"173",1942,1650,1750,"43","4","1",7,0,0,0,0,0,1,6,0,0
"174",1943,1700,1791,"43","4","1",4,0,0,0,0,0,0,4,0,0
"175",1944,1700,1791,"43","4","1",6,1,2,0,1,0,0,8,0,0
"176",1945,1700,1791,"43","4","1",4,0,0,0,0,0,0,4,0,0
"177",1946,1750,1791,"43","4","1",10,1,1,0,1,0,0,11,0,0
"178",1947,1750,1791,"43","4","1",8,0,0,0,0,0,0,8,0,0
"179",1948,1750,1791,"43","4","1",2,2,0,0,2,0,0,2,0,0
"180",1949,1750,1791,"43","4","1",12,0,0,0,0,0,0,12,0,0
"181",1950,1750,1791,"43","4","1",11,1,1,0,1,0,0,12,0,0
"182",1951,1750,1791,"43","4","1",6,0,0,0,0,0,1,5,0,0
"183",1952,1750,1791,"43","4","1",4,0,0,0,0,0,0,4,0,0
"184",1953,1754,1754,"43","4","1",1,1,0,0,1,0,0,1,0,0
"185",1954,1765,1791,"43","4","1",7,0,0,0,0,0,0,7,0,0
"186",1955,1765,1791,"43","4","1",2,3,0,0,3,0,0,2,0,0
"187",1956,1765,1791,"43","4","1",2,3,0,0,2,0,1,2,0,0
"188",1957,1765,1791,"43","4","1",3,9,0,0,6,2,1,3,0,0
"189",1958,1765,1791,"43","4","1",6,0,0,0,0,0,1,5,0,0
"190",1959,1765,1791,"43","4","1",6,0,0,0,0,0,0,6,0,0
"191",1960,1765,1791,"43","4","1",7,0,0,0,0,0,0,7,0,0
"192",1961,1765,1791,"43","4","1",6,0,0,0,0,0,0,6,0,0
"193",1962,1450,1650,"43","4","1",9,4,0,0,0,4,0,9,0,0
"194",1963,1200,1750,"43","4","1",2,4,1,0,0,4,1,2,0,0
"195",1964,800,1200,"30","3","1",0,4,0,0,0,4,0,0,0,0
"196",1965,1400,1765,"30","3","1",8,12,0,0,2,10,0,8,0,0
"197",2014,900,1200,"37","3","1",0,13,0,0,0,13,0,0,0,0
"198",2015,1200,1475,"37","3","1",14,1,0,0,0,0,11,3,1,0
"199",2017,1100,1700,"37","3","1",6,0,0,0,0,0,5,1,0,0
"200",2301,900,1790,"43","4","2",2,14,1,1,0,9,0,5,4,0
"201",2305,1000,1200,"42","4","1",0,15,0,1,0,14,0,2,0,0
"202",2306,1200,1450,"42","4","1",16,4,0,2,2,0,13,6,1,0
"203",2631,1356,1450,"21","2","2",1,11,0,0,2,9,0,1,0,0
"204",2633,1356,1450,"21","2","2",0,7,0,0,1,6,0,0,0,0
"205",2634,1356,1450,"21","2","2",0,6,0,0,1,5,0,0,0,0
"206",2635,1450,1592,"21","2","2",0,7,0,0,0,7,0,0,0,0
"207",2636,1592,1691,"13","1","2",0,7,0,0,3,4,0,0,0,0
"208",2637,1350,1592,"13","1","2",0,0,0,0,0,0,0,0,0,0
"209",2638,1350,1592,"13","1","2",2,3,0,0,1,0,1,2,1,0
"210",2639,1477,1592,"13","1","2",0,5,0,0,0,4,0,1,0,0
"211",2640,1477,1592,"13","1","2",3,5,0,0,0,4,3,1,0,0
"212",2641,1471,1592,"13","1","2",0,7,0,0,0,6,0,1,0,0
"213",2642,1350,1592,"13","1","2",0,4,0,0,0,4,0,0,0,0
"214",2659,1450,1730,"32","3","3",17,1,0,0,0,0,18,0,0,0
"215",2697,1518,1800,"16","1","1",19,0,0,0,0,0,18,1,0,0
"216",2699,1511,1875,"16","1","1",3,4,0,0,0,0,2,3,2,0
"217",2700,1511,1784,"16","1","1",8,3,0,0,0,0,8,2,1,0
"218",2701,1507,1855,"16","1","1",5,4,0,0,0,4,4,1,0,0
"219",2702,1350,1850,"16","1","1",18,2,0,1,0,0,16,3,2,0
"220",2703,1820,1958,"16","1","1",3,0,0,0,0,0,3,0,0,0
"221",2704,1958,2015,"16","1","1",0,0,0,0,0,0,0,0,0,0
"222",2707,1450,1624,"43","4","1",2,1,0,0,0,0,1,1,1,0
"223",2709,1200,1790,"34","3","3",1,4,0,0,0,4,0,1,0,0
"224",2749,1475,1970,"37","3","1",1,3,0,0,0,3,1,0,0,0
"225",2750,1400,1976,"37","3","1",9,0,0,0,0,0,9,0,0,0
"226",2752,1500,1975,"37","3","1",7,3,0,0,0,3,7,0,0,0
"227",2753,1500,1975,"37","3","1",16,0,0,0,0,0,15,1,0,0
"228",2754,1492,1630,"37","3","1",3,1,0,0,0,0,3,0,1,0
"229",2757,1400,1970,"37","3","1",1,5,0,0,0,5,1,0,0,0
"230",2765,1500,1700,"37","3","1",3,3,0,0,0,0,2,3,1,0
"231",2766,1400,1960,"37","3","1",0,4,0,0,0,4,0,0,0,0
"232",2798,1500,1730,"62","6","2",0,8,1,0,1,7,1,0,0,0
"233",2805,440,1200,"42","4","4",0,2,0,1,0,0,0,2,1,0
"234",2807,440,482,"42","4","4",0,2,0,1,0,0,0,2,1,0
"235",202,40,400,"16","1","2",2,1,2,0,5,0,0,0,0,0
"236",241,100,850,"13","1","2",1,4,0,0,4,0,1,0,0,0
"237",257,40,400,"13","1","2",2,1,2,0,5,0,0,0,0,0
"238",933,50,850,"13","1","2",2,3,0,0,4,0,1,0,0,0
"239",934,50,850,"13","1","2",2,3,0,0,4,0,1,0,0,0
"240",935,50,850,"13","1","2",2,3,0,0,4,0,1,0,0,0
"241",936,919,1080,"13","1","2",0,3,0,0,3,0,0,0,0,0
"242",937,919,1080,"13","1","2",1,5,0,0,6,0,0,0,0,0
"243",939,943,1356,"13","1","2",0,6,0,0,6,0,0,0,0,0
"244",940,40,300,"15","1","3",0,0,2,0,2,0,0,0,0,0
"245",941,40,300,"15","1","3",0,0,2,0,2,0,0,0,0,0
"246",942,300,1034,"15","1","3",0,0,1,0,1,0,0,0,0,0
"247",943,300,1034,"15","1","3",0,13,3,0,4,12,0,0,0,0
"248",1277,919,1080,"13","1","2",1,3,0,0,4,0,0,0,0,0
"249",1278,919,1080,"13","1","2",0,5,0,0,5,0,0,0,0,0
"250",1279,919,1080,"13","1","2",0,6,0,0,6,0,0,0,0,0
"251",1280,919,1080,"13","1","2",0,5,0,0,5,0,0,0,0,0
