"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"89","205",300,300,"EU_03","cite_castrum","urbaine","2",70,300,2,FALSE,FALSE,0,0,"Etat 1 des thermes N (site 3)",36,"bains, thermes","3",2
"90","206",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"mur W du rempart BE",21,"système défensif urbain","2",2
"91","206",550,899,"EU_09","cite_NE_1","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"mur W du rempart BE",21,"système défensif urbain","2",2
"92","206",900,1049,"EU_13","cite_NE_2","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"mur W du rempart BE",21,"système défensif urbain","2",2
"93","206",1050,1150,"EU_17","cite_N_1","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"mur W du rempart BE",21,"système défensif urbain","2",2
"94","207",300,349,NA,NA,"non urbaine","0",300,1050,3,FALSE,FALSE,2,2,"tour angle NW du rempart BE",21,"système défensif urbain","2",2
"95","207",350,899,"EU_04","stjulien_1","intermediaire","1",300,1050,3,TRUE,TRUE,2,2,"tour angle NW du rempart BE",21,"système défensif urbain","2",2
"96","207",900,1050,NA,NA,"non urbaine","0",300,1050,3,TRUE,TRUE,2,2,"tour angle NW du rempart BE",21,"système défensif urbain","2",2
"97","208",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N, W poterne du rempart BE",21,"système défensif urbain","2",2
"98","208",1622,1750,"EU_27","tours_N_2","urbaine","2",300,1750,2,TRUE,TRUE,1,1,"tronçon mur N, W poterne du rempart BE",21,"système défensif urbain","2",2
"99","209",300,1450,NA,NA,"non urbaine","0",300,1450,1,FALSE,FALSE,0,0,"poterne du rempart BE",21,"système défensif urbain","2",2
"100","210",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N, E poterne du rempart BE",21,"système défensif urbain","2",2
"101","210",1622,1750,"EU_27","tours_N_2","urbaine","2",300,1750,2,TRUE,TRUE,1,1,"tronçon mur N, E poterne du rempart BE",21,"système défensif urbain","2",2
"102","214",95,200,"EU_01","ville_ouverte_1","urbaine","2",95,200,1,FALSE,FALSE,0,0,"habitation (2e bat.) (site 10)",37,"habitat","3",1
"103","216",700,1500,NA,NA,"non urbaine","0",700,1500,1,FALSE,FALSE,0,0,"sepultures (site 10)",51,"aire funéraire","5",2
"104","217",20,100,"EU_01","ville_ouverte_1","urbaine","2",20,100,1,FALSE,FALSE,0,0,"batiment sur solins (etat 2) (site 7, zone 3)",37,"habitat","3",1
"105","218",100,299,"EU_01","ville_ouverte_1","urbaine","2",100,300,2,FALSE,FALSE,0,1,"domus a peristyle  (site 7, zone 3)",37,"habitat","3",1
"106","218",300,300,"EU_02","ville_ouverte_O","urbaine","1",100,300,2,FALSE,TRUE,0,1,"domus a peristyle  (site 7, zone 3)",37,"habitat","3",1
"107","220",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,350,2,FALSE,FALSE,1,1,"sepultures (site 7, zone 3)",51,"aire funéraire","5",2
"108","220",350,350,NA,NA,"non urbaine","0",300,350,2,TRUE,TRUE,1,1,"sepultures (site 7, zone 3)",51,"aire funéraire","5",2
